ID	Super_Kingdom	Group	GC_Content	Gram_Stain	Shape	Arrangment	Endospores	Motility	Salinity	Oxygen_Req	Habitat	Temp._range	Pathogenic_in	Disease
30807	Bacteria	Cyanobacteria	38.3		Filaments	Filaments		Yes		Aerobic	Multiple	Mesophilic		
33011	Bacteria	Firmicutes	37.1	+	Cocci		No	No		Facultative				
12997	Bacteria	Cyanobacteria	47.0		Sphere,Ellipse	Singles				Aerobic	Aquatic	Mesophilic	No	None
16707	Bacteria	Cyanobacteria			Sphere,Ellipse	Singles				Aerobic	Aquatic	Mesophilic	No	
45843	Bacteria	Firmicutes		-	Rod		No	Yes		Anaerobic		Mesophilic		
52649	Bacteria	Alphaproteobacteria												
61319	Bacteria	Alphaproteobacteria												
31129	Bacteria	Alphaproteobacteria	53.1	-	Rod					Aerobic	Multiple	Mesophilic		
31141	Bacteria	Alphaproteobacteria	53.1	-	Rod					Aerobic	Multiple	Mesophilic		
31131	Bacteria	Alphaproteobacteria	53.1	-	Rod					Aerobic	Multiple	Mesophilic		
31133	Bacteria	Alphaproteobacteria	53.1	-	Rod					Aerobic	Multiple	Mesophilic		
32203	Bacteria	Alphaproteobacteria	53.1	-	Rod					Aerobic	Multiple	Mesophilic		
31135	Bacteria	Alphaproteobacteria	53.1	-	Rod					Aerobic	Multiple	Mesophilic		
31137	Bacteria	Alphaproteobacteria	53.1	-	Rod					Aerobic	Multiple	Mesophilic	No	
31139	Bacteria	Alphaproteobacteria	53.1	-	Rod					Aerobic	Multiple	Mesophilic		
61317	Bacteria	Alphaproteobacteria												
60787	Bacteria	Alphaproteobacteria												
46891	Bacteria	Alphaproteobacteria		-	Rod	Singles	No	Yes		Aerobic	Host-associated	Mesophilic		
60713	Bacteria	Firmicutes												
32769	Bacteria	Firmicutes							Moderate_halophilic	Anaerobic	Specialized			
19259	Bacteria	Firmicutes	31.9		Pleomorphic				Non-halophilic	Facultative	Specialized	Mesophilic		
46343	Bacteria	Betaproteobacteria	64.7	-	Rod	Pairs		No		Aerobic	Host-associated	Mesophilic		
40627	Bacteria	Betaproteobacteria		-	Rod			Yes		Aerobic				
48393	Bacteria	Betaproteobacteria		-	Rod			Yes		Aerobic				
65117	Bacteria	Betaproteobacteria												
38739	Bacteria	Betaproteobacteria		-	Rod			Yes		Aerobic				
33685	Bacteria	Firmicutes	55.8	-	Coccus		No	No		Anaerobic	Multiple	Mesophilic	No	
32215	Bacteria	Firmicutes		-	Coccobacillus					Anaerobic	Host-associated	Mesophilic	Human	Opportunistic_infections
46363	Bacteria	Firmicutes			Coccus					Anaerobic	Host-associated	Mesophilic		
34117	Bacteria	Firmicutes	50.2	+	Coccus					Anaerobic	Host-associated	Mesophilic		
199	Archaea	Crenarchaeota			Coccus	Singles	No	No		Facultative		Thermophilic	No	
60875	Archaea	Crenarchaeota												
